P38 PIP2 PIP3 PKA PKC p44/42 pakts473 pjnk plcg pmek praf
0 2 1 0 0 0 2 0 2 2 2
2 2 0 0 0 0 2 0 2 2 2
2 2 0 0 2 1 0 0 2 2 0
1 2 0 2 2 0 0 2 2 1 1
2 2 1 2 2 2 0 1 2 2 1
1 2 0 2 2 1 1 1 2 1 1
1 2 0 1 2 1 0 2 2 2 2
1 0 1 2 2 2 2 1 2 2 1
2 2 0 0 0 0 2 0 2 0 0
2 0 0 0 1 0 2 1 1 0 0
2 0 0 0 1 0 2 0 1 0 0
2 2 0 0 0 0 0 0 2 0 0
2 1 0 0 2 0 2 2 1 2 2
2 2 0 0 0 1 0 2 2 0 2
2 2 2 0 0 0 0 2 2 2 2
2 2 0 0 0 0 2 0 2 0 0
2 2 1 0 0 0 2 2 2 2 2
2 2 1 0 0 0 2 0 2 0 2
2 2 1 0 2 0 2 0 2 0 0
2 2 0 0 1 0 2 0 2 2 2
2 2 0 0 0 0 2 2 2 2 2
2 2 0 0 0 0 2 2 2 0 0
2 2 0 0 0 0 0 2 2 2 2
2 2 1 0 0 0 2 2 2 2 0
0 2 0 0 1 1 0 0 2 2 2
2 0 1 0 0 0 2 2 2 2 1
2 2 1 0 0 1 0 0 2 2 0
2 2 0 0 0 0 2 0 2 2 2
2 2 2 2 2 2 2 0 2 2 0
1 2 1 2 2 2 2 1 2 2 1
2 2 0 2 0 2 2 0 2 2 1
2 2 0 0 2 1 0 2 0 2 1
2 2 2 0 2 0 0 2 2 2 1
2 2 2 0 2 1 0 0 2 0 2
2 0 2 1 2 0 2 2 1 2 2
2 2 1 0 0 0 2 0 2 0 2
2 2 0 0 1 1 0 0 2 2 2
2 2 1 2 0 0 2 2 2 0 2
2 2 1 0 1 0 0 0 2 2 2
2 0 1 0 0 0 2 2 2 2 2
2 2 1 0 2 2 2 2 2 2 0
1 2 0 1 2 1 2 2 2 2 2
2 2 0 1 2 0 2 2 2 2 2
0 0 0 2 1 2 2 0 2 2 2
2 2 2 2 2 1 1 1 2 1 1
2 2 0 0 2 0 2 0 2 2 1
2 2 0 0 0 0 2 2 2 2 2
2 0 2 0 0 0 2 2 1 0 2
2 2 0 1 2 0 2 2 2 2 0
2 2 2 0 0 0 2 2 2 2 2
2 2 1 0 0 1 2 2 2 2 2
0 2 2 2 0 2 2 2 2 2 1
2 2 0 0 0 1 0 2 2 2 0
2 1 0 0 0 0 2 0 1 2 2
2 1 0 0 0 0 2 2 1 2 2
2 2 0 1 2 0 2 2 2 2 2
2 2 1 0 1 0 2 0 2 2 2
2 2 1 2 0 0 2 2 2 0 0
2 2 1 0 2 0 2 2 2 2 1
2 2 2 0 1 0 2 0 2 2 2
0 2 0 0 1 0 2 2 2 0 2
2 2 1 0 0 0 0 2 2 2 2
2 2 0 0 2 0 2 2 2 2 1
2 0 2 0 0 0 2 0 1 0 2
2 2 0 0 0 0 2 2 2 2 2
1 2 1 2 2 1 1 1 0 1 1
2 2 1 0 1 0 2 0 2 2 2
2 2 1 0 0 1 0 2 2 0 0
2 2 2 0 0 2 0 2 2 0 0
2 2 2 0 0 1 0 0 2 0 0
2 2 2 0 2 2 0 2 2 0 0
2 0 1 0 0 2 0 0 0 2 2
1 2 1 2 2 2 0 0 2 2 1
1 2 0 2 2 1 1 1 2 1 1
2 2 1 0 0 0 0 0 2 2 2
2 1 1 0 0 2 2 0 1 2 2
2 2 0 1 2 0 2 2 2 2 2
2 2 2 0 2 1 0 2 2 0 2
2 2 0 2 0 2 2 0 2 2 2
2 2 0 2 2 1 1 1 2 1 0
2 1 0 0 1 0 0 0 1 0 2
2 2 0 0 2 0 2 2 2 2 0
2 2 2 0 2 0 2 0 2 2 0
2 2 0 0 0 1 0 0 2 2 2
2 2 1 1 2 0 2 2 2 2 2
0 2 0 2 2 1 1 2 2 1 1
2 2 2 0 0 1 2 2 2 0 2
2 2 2 0 0 2 2 2 2 0 2
2 2 0 0 1 0 2 0 2 2 2
0 2 2 0 0 1 0 2 0 2 0
1 2 1 2 2 0 0 2 2 1 1
2 2 2 0 0 2 2 0 1 0 0
1 2 0 2 2 0 0 1 0 1 0
2 2 0 2 0 1 0 2 2 0 0
1 1 1 2 2 0 2 2 2 1 0
2 2 0 0 0 2 2 2 2 0 2
2 0 2 0 0 0 0 0 1 0 0
