P38,PIP2,PIP3,PKA,PKC,p44/42,pakts473,pjnk,plcg,pmek,praf
44.9,18.3,58.8,414.0,17.0,6.61,17.0,40.0,8.82,13.2,26.4
16.5,16.8,8.13,352.0,3.37,18.6,32.5,61.5,12.3,16.5,35.9
31.9,10.2,13.0,403.0,11.4,14.9,32.5,19.5,14.6,44.1,59.4
28.6,13.5,1.29,528.0,13.7,5.83,11.8,23.1,23.1,82.8,73.0
25.7,9.73,24.8,305.0,4.66,21.1,46.1,81.3,5.19,19.8,33.7
49.1,22.1,10.9,610.0,13.7,11.9,25.7,57.8,17.6,3.75,18.8
35.9,132.0,16.3,835.0,15.0,8.66,17.9,18.1,10.4,36.5,44.9
24.4,30.5,17.5,466.0,6.44,20.2,45.3,20.0,14.6,15.0,47.4
61.0,21.1,41.8,445.0,29.2,11.5,23.5,25.3,10.6,61.5,104.0
26.7,205.0,43.7,213.0,14.6,13.2,135.0,101.0,1.88,21.5,21.1
44.9,17.0,11.2,449.0,20.4,21.9,34.6,24.1,14.5,16.4,16.4
71.0,15.5,26.2,389.0,31.9,20.9,36.5,35.5,7.5,22.9,74.3
44.1,64.9,11.7,528.0,17.9,6.67,12.2,118.0,8.9,39.6,85.1
41.4,9.06,15.5,400.0,14.6,17.9,17.9,151.0,5.0,29.2,36.8
19.1,16.0,46.6,500.0,9.73,8.82,7.23,7.91,10.2,24.1,29.2
77.0,13.2,11.3,392.0,56.2,18.1,27.9,1.0,11.9,13.8,50.0
65.5,10.9,14.7,89.0,40.0,9.06,37.9,1.42,21.3,26.7,26.2
30.8,92.2,22.7,223.0,16.5,27.6,31.3,7.64,10.5,38.2,39.6
37.2,133.0,15.7,319.0,24.1,19.1,36.2,17.2,7.5,19.8,30.5
27.4,141.0,25.7,710.0,14.2,31.1,62.1,22.1,13.3,16.5,49.1
28.4,85.8,17.9,843.0,12.0,12.1,35.9,20.9,11.3,8.9,38.5
28.4,10.6,4.91,276.0,13.8,10.2,23.9,12.7,14.5,17.8,31.6
84.3,137.0,23.9,965.0,1.0,30.2,50.0,4.61,1.0,27.9,41.0
93.9,24.4,12.9,449.0,35.9,9.91,27.9,48.3,15.4,54.2,70.4
46.1,20.9,10.5,1981.0,35.9,59.4,98.2,17.8,17.6,42.2,70.4
29.2,181.0,43.7,644.0,13.6,18.8,38.5,7.04,8.28,1.0,21.5
23.3,22.1,10.6,466.0,10.5,17.8,32.2,6.98,18.6,23.1,39.2
48.3,18.4,6.26,500.0,22.7,10.4,25.0,59.4,19.8,20.4,69.8
38.9,50.0,23.1,308.0,13.2,34.3,51.4,196.0,17.2,22.3,34.9
41.8,62.6,38.2,673.0,28.1,5.14,14.7,23.1,13.0,24.8,40.7
38.5,21.3,7.5,1382.0,19.5,23.9,49.1,20.9,13.2,15.7,45.7
67.9,17.6,13.1,621.0,34.0,8.58,12.5,28.1,14.5,29.2,43.7
40.3,209.0,19.5,422.0,26.9,10.5,35.5,15.3,4.41,80.6,79.9
59.9,18.1,12.7,552.0,38.5,9.22,22.9,17.9,21.7,17.3,56.7
