col_87,col_68,col_57,col_78,col_85,col_13,col_31,col_46,col_54,col_80,col_37,col_69,col_5,col_67,col_16,col_29,col_41,col_53,col_60,col_40,col_12,col_27,col_30,col_14,col_65,col_38,col_71,col_17,col_62,col_84,col_15,col_19,col_8,col_2,col_73,col_47,col_20,col_42,col_11,col_74,col_34,col_33,col_35,col_50,col_59,col_72,col_77,col_88,col_24,col_70,col_44,col_79,col_0,col_86,col_66,col_45,col_56,col_23,col_9,col_76,col_83,col_32,col_18,col_28,col_55,col_89,col_21,col_6,col_36,col_1,col_25,col_58,col_26,col_22,col_90,col_75,col_82,col_4,col_10,col_52,col_48,col_39,col_43,col_81,col_3,col_63,col_49
2,0,0,0,3,3,0,2,3,3,3,2,0,2,1,3,1,1,2,3,1,2,4,2,2,0,0,4,0,1,0,0,1,1,2,0,0,1,3,0,2,0,2,0,0,3,0,0,2,0,1,3,3,0,1,0,0,2,1,2,0,2,2,1,1,0,1,0,0,2,0,0,0,2,0,3,2,2,1,4,1,2,3,1,1,0,0
2,2,2,3,2,3,0,2,2,2,1,2,1,2,0,2,1,1,1,2,2,0,2,1,1,1,0,3,0,0,3,1,2,1,3,0,1,2,2,0,0,1,1,2,1,0,1,0,2,2,1,1,1,0,0,1,1,1,1,2,0,3,0,2,0,0,0,0,0,4,0,0,0,2,0,2,0,1,0,2,1,4,3,1,1,0,2
0,2,2,1,3,2,0,2,1,3,1,2,0,2,3,3,1,1,2,2,2,2,0,0,3,1,0,4,0,2,2,0,1,1,1,0,0,0,0,0,1,1,1,0,2,3,4,0,2,0,1,0,2,0,0,2,1,1,1,0,1,2,0,3,1,0,0,1,0,2,0,0,0,1,0,3,0,2,2,4,1,4,1,0,0,2,0
2,2,1,2,0,2,0,2,2,3,0,2,1,2,0,1,1,1,0,2,0,2,1,1,3,0,0,4,0,2,0,0,0,1,2,0,0,1,1,0,1,2,0,2,0,3,1,0,2,0,2,3,2,0,0,0,0,2,3,2,1,1,2,2,0,3,1,0,0,4,0,0,0,2,0,2,3,2,2,1,1,2,0,1,1,0,0
1,1,1,3,3,2,2,2,2,3,1,2,1,2,0,2,1,2,1,1,1,2,1,0,3,1,1,5,0,0,0,0,0,1,3,0,1,2,3,0,2,2,1,2,3,1,3,0,2,1,1,2,1,0,1,0,2,2,1,2,0,2,2,1,2,0,1,0,1,3,0,0,0,1,0,2,1,2,2,4,1,2,2,1,0,0,0
2,2,2,3,2,3,1,2,2,0,1,2,0,2,0,1,1,1,2,2,4,0,0,0,3,1,0,2,1,0,0,1,0,1,1,0,0,1,0,0,0,2,1,3,2,1,3,0,0,1,1,4,2,0,0,0,2,2,1,0,0,2,2,2,2,0,2,0,1,2,0,0,0,0,0,2,1,2,0,2,1,3,3,1,0,0,2
1,1,0,2,3,1,0,2,1,2,0,1,2,2,0,0,1,1,1,0,2,2,2,2,3,1,0,3,0,2,2,0,1,1,0,2,0,1,1,1,0,1,1,2,4,2,4,0,2,0,1,3,2,1,1,0,2,2,3,2,1,2,2,2,2,0,1,3,2,4,0,0,3,1,0,2,0,2,2,2,1,2,0,1,1,2,1
0,1,0,0,2,2,2,2,2,3,0,1,0,2,2,3,1,0,0,3,1,1,1,2,3,1,0,5,0,0,0,2,0,0,0,0,0,1,2,0,0,2,2,0,3,3,0,0,2,2,2,1,0,0,1,0,0,1,3,2,0,2,2,3,1,0,2,3,2,0,0,0,1,1,0,1,3,2,2,2,1,2,0,0,1,2,2
1,1,2,1,1,3,2,2,1,3,3,1,2,2,3,2,0,1,1,3,1,0,4,0,3,2,0,5,1,0,0,2,0,1,3,0,0,0,1,0,1,2,1,3,4,1,0,0,2,2,2,2,2,0,0,0,2,1,1,2,1,1,2,2,2,0,1,3,2,0,0,0,3,2,0,2,3,1,1,4,1,2,0,1,1,0,2
2,0,2,0,1,2,0,0,2,3,3,1,2,2,0,2,1,0,1,1,3,0,0,0,3,0,0,5,0,1,0,2,0,1,3,0,0,2,3,3,1,2,2,0,2,1,2,0,3,2,1,3,0,2,0,0,2,1,1,0,0,2,2,1,1,3,1,2,1,4,1,0,3,1,3,2,0,2,2,1,1,2,1,1,0,0,2
2,2,0,2,1,3,0,2,2,3,3,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,3,0,0,0,2,0,1,1,0,0,1,3,0,0,2,0,2,1,3,3,0,2,0,1,2,0,0,1,0,1,2,1,2,1,2,0,2,1,0,0,2,0,4,0,0,0,1,0,1,1,1,0,1,1,4,1,1,0,2,2
0,0,2,2,3,2,2,2,3,0,0,2,1,2,1,1,1,1,0,3,0,2,1,2,3,1,1,5,0,2,0,1,0,1,0,0,1,2,1,1,2,2,3,2,0,3,0,0,0,2,1,4,2,2,1,0,0,2,1,2,0,2,2,1,1,0,2,1,0,0,0,0,0,1,0,3,1,1,2,2,1,3,0,0,1,2,0
0,2,0,3,3,2,0,2,2,3,1,2,2,2,3,1,1,1,1,0,0,0,2,2,3,1,0,5,0,0,1,2,0,1,3,2,0,0,0,0,2,0,1,3,0,3,3,0,3,0,0,3,1,0,1,0,1,1,1,2,1,1,0,2,1,0,1,0,0,0,0,0,3,2,0,2,2,1,2,0,1,4,0,1,1,1,2
1,2,0,1,3,2,0,2,2,0,1,2,2,2,3,3,1,2,0,2,3,2,0,2,1,0,1,4,1,1,0,0,0,0,2,0,1,1,1,0,1,0,2,3,4,3,1,0,3,2,1,3,2,0,0,0,2,1,1,2,0,0,2,3,1,0,1,0,0,1,0,0,3,1,0,3,1,2,2,1,1,2,3,0,1,2,2
2,2,0,3,0,2,0,2,1,3,1,2,0,2,0,2,1,1,0,2,4,2,2,2,1,0,0,1,0,2,0,0,0,1,0,0,0,1,2,2,2,0,3,2,0,0,1,0,2,2,2,2,1,2,0,0,1,2,1,1,0,1,0,3,0,0,1,1,0,0,0,0,3,1,0,2,1,2,2,0,1,4,0,0,1,2,1
2,0,1,3,0,3,0,2,3,3,3,2,0,2,3,1,1,1,2,1,1,2,4,0,3,0,0,5,1,1,2,1,0,1,3,0,1,2,2,0,2,1,0,0,4,3,0,0,1,0,1,5,1,0,0,0,0,1,1,2,0,1,0,1,3,0,2,0,0,1,1,0,3,1,0,3,0,2,2,4,1,4,3,2,1,1,0
2,1,2,3,1,2,0,0,3,0,1,0,0,2,1,1,1,1,2,0,3,2,4,0,3,0,1,3,0,0,2,2,0,1,2,0,0,1,2,0,0,1,2,2,2,3,1,0,0,0,1,4,1,2,1,0,1,0,1,1,1,1,2,1,1,0,2,1,0,0,0,0,3,2,0,3,0,2,3,2,1,2,3,1,1,0,2
1,1,0,2,3,3,2,0,4,3,3,2,1,2,1,2,1,1,0,1,1,0,3,0,3,2,1,2,0,2,3,0,0,1,2,0,0,2,1,3,0,0,1,0,1,1,1,0,3,0,2,4,2,0,1,0,1,1,1,0,0,2,2,0,0,0,2,1,2,3,0,0,0,2,3,1,0,1,1,1,1,2,3,0,1,2,1
1,2,0,2,1,1,0,0,1,0,0,2,2,2,0,0,1,1,0,3,3,1,2,2,3,1,0,5,0,0,0,0,0,1,2,0,1,2,1,0,1,2,2,0,3,3,4,0,3,0,1,0,2,0,0,0,1,1,1,2,1,2,2,1,2,0,1,0,0,1,0,0,3,2,0,2,0,2,3,4,1,3,3,1,1,0,2
2,2,0,3,1,2,0,2,0,3,1,2,2,2,3,1,1,0,0,1,3,0,4,0,3,1,0,5,0,0,0,1,0,1,1,0,1,0,2,1,2,2,0,3,1,3,1,0,0,1,1,0,1,0,1,0,0,0,1,2,1,2,2,1,1,0,2,0,0,1,0,0,3,1,0,2,2,2,2,4,1,2,3,0,0,2,0
3,1,2,2,2,2,2,2,2,0,1,2,1,2,1,0,1,1,2,2,0,2,1,1,3,0,0,4,0,0,3,0,1,1,2,0,0,2,1,0,0,1,1,2,4,1,0,0,0,2,2,1,1,0,0,2,1,0,1,2,1,1,0,3,3,0,2,0,2,3,0,0,0,3,0,3,3,2,2,2,1,4,1,2,1,2,2
0,2,1,0,2,2,0,2,2,2,1,2,0,2,0,1,1,1,0,1,1,0,0,2,3,1,3,5,1,2,2,2,1,0,2,0,0,1,3,0,1,1,2,2,4,3,3,0,0,0,0,0,0,0,1,0,1,2,2,0,1,2,2,2,1,0,1,0,0,2,0,0,0,1,0,2,2,2,2,1,1,2,1,0,0,2,0
2,2,0,2,0,2,0,1,1,3,1,2,1,2,0,3,1,1,0,1,3,0,2,0,2,1,0,2,0,2,0,0,2,1,0,0,1,2,0,2,0,0,1,3,2,3,2,0,2,0,1,5,1,0,1,0,2,2,1,2,1,1,2,3,1,3,0,0,0,3,0,0,0,2,3,2,2,1,2,4,1,2,3,1,0,2,1
3,0,2,0,2,2,0,0,1,2,1,2,2,2,2,2,1,1,2,2,2,2,4,0,1,1,0,4,0,1,2,0,0,1,2,0,1,2,2,0,2,1,1,0,2,0,4,0,1,0,0,1,3,0,0,0,0,1,3,2,0,2,0,1,1,4,1,0,0,0,0,0,3,3,0,1,2,1,2,4,1,4,0,1,1,0,0
2,0,1,0,2,3,0,2,3,0,3,2,2,2,0,1,1,1,1,1,4,2,1,2,3,0,0,5,1,2,0,0,0,1,3,0,1,1,0,0,1,2,0,3,4,3,3,0,1,0,1,0,0,2,1,0,0,1,2,2,0,1,2,2,1,3,0,0,0,0,0,0,3,1,0,2,0,2,1,2,1,2,3,1,0,2,2
3,1,0,2,1,1,0,2,0,3,0,2,2,2,1,1,1,1,2,3,1,2,3,1,3,1,1,5,0,2,2,2,0,1,2,0,0,1,0,0,0,2,2,2,4,1,3,0,2,0,1,2,2,2,1,0,2,2,1,1,1,2,2,1,3,0,1,1,1,3,0,0,3,1,0,0,0,0,3,1,1,2,3,0,1,2,2
3,2,0,3,3,3,2,2,2,3,1,0,1,2,2,1,1,1,0,0,4,2,4,1,3,1,1,3,0,0,0,0,0,1,2,0,0,0,2,0,2,0,1,0,3,3,3,0,0,0,1,2,1,1,0,0,0,1,1,2,1,1,2,1,1,0,1,2,0,3,3,0,0,1,0,0,3,2,0,2,1,2,3,0,0,2,2
0,0,2,3,2,1,0,2,3,3,0,2,0,2,1,1,1,1,0,3,3,2,3,0,3,0,1,5,0,2,2,0,0,1,1,0,1,0,0,2,2,2,1,0,1,3,1,0,0,2,2,4,3,1,0,0,2,0,1,2,1,2,0,1,3,0,2,1,0,0,0,0,0,2,0,3,3,2,3,4,1,2,0,1,1,2,2
3,1,1,2,0,2,0,2,3,3,0,2,1,2,2,1,1,1,0,3,1,2,2,0,3,1,0,5,0,1,2,0,0,1,2,0,0,1,1,0,1,2,1,2,4,1,1,0,0,0,1,1,2,2,0,0,1,2,1,2,1,2,2,3,1,0,2,0,2,4,0,0,0,1,0,1,1,2,2,0,1,2,0,1,1,2,2
2,1,2,3,1,2,0,2,3,3,1,1,2,2,0,3,4,1,0,0,3,0,1,0,3,2,0,3,0,2,3,0,1,1,2,0,0,1,0,0,0,0,3,0,1,0,4,0,2,1,2,5,1,2,1,2,0,1,1,2,0,1,2,3,0,0,2,3,2,0,0,0,3,1,0,2,3,0,2,0,1,2,0,0,1,2,2
0,0,2,0,2,1,1,2,2,3,0,1,2,2,3,1,1,1,2,2,2,1,0,1,3,1,0,2,0,1,0,0,1,1,2,0,1,2,1,0,0,0,1,0,4,1,4,0,3,1,2,3,2,2,1,0,2,2,1,2,1,2,2,3,0,0,0,3,1,4,0,0,3,2,0,3,3,2,3,0,1,2,0,1,1,2,2
0,2,2,3,3,3,0,0,4,0,1,2,0,2,3,1,0,1,0,2,0,0,2,0,3,1,0,4,1,2,0,0,0,1,1,0,0,0,2,0,2,2,1,2,2,3,3,0,2,0,0,3,1,0,0,0,1,1,1,2,0,2,2,1,1,0,1,0,0,1,0,0,0,2,1,2,3,1,2,4,1,2,3,1,1,0,2
2,2,2,2,3,3,2,2,3,3,1,1,1,2,0,1,1,1,0,2,0,0,3,1,3,1,0,2,0,0,0,2,0,1,0,0,0,1,2,2,2,2,2,0,3,1,0,0,0,0,2,0,2,0,0,0,0,0,1,2,1,2,2,2,3,3,1,3,1,3,1,0,0,1,0,2,3,1,1,1,1,2,0,0,1,2,2
2,2,2,2,0,2,0,0,3,2,1,1,1,2,3,1,1,1,0,1,1,0,2,2,1,0,1,5,0,2,0,0,0,1,0,0,0,0,3,2,1,2,2,0,4,1,1,0,0,0,2,4,0,0,1,0,1,0,1,0,1,0,2,1,0,0,0,3,1,2,0,0,0,0,0,3,3,2,2,4,1,2,0,1,1,0,2
1,2,2,3,3,2,0,0,3,3,0,1,2,2,0,3,1,2,0,1,1,2,4,1,3,1,0,5,1,0,0,0,2,0,2,0,1,1,2,0,2,2,3,3,2,0,1,0,1,0,0,2,1,2,2,0,0,2,1,2,0,1,0,2,1,0,1,3,0,1,0,0,3,1,0,2,2,1,2,2,1,4,3,0,1,2,2
2,1,2,3,3,3,0,0,2,2,1,1,2,2,0,2,1,1,0,2,0,0,2,0,2,0,0,4,0,2,0,2,0,1,2,0,0,1,3,2,0,2,1,2,1,1,0,0,1,0,1,5,0,0,1,0,1,2,1,2,0,1,2,3,1,0,0,3,2,0,0,0,3,1,0,2,0,0,0,2,1,2,0,1,1,2,1
2,1,2,3,1,2,0,2,0,3,1,1,1,2,0,3,1,2,0,3,3,0,2,2,1,1,0,5,0,2,2,1,0,0,2,0,0,0,3,0,2,1,0,0,1,1,1,0,1,1,2,5,2,1,1,0,0,2,1,2,0,2,2,2,0,0,2,3,2,2,1,0,0,3,0,2,1,2,2,3,1,2,2,0,1,2,1
1,2,0,3,1,3,1,2,2,3,1,1,1,2,3,1,1,1,2,2,3,2,1,2,0,0,1,4,1,0,0,0,0,1,2,0,0,1,3,0,2,0,2,2,2,3,2,0,2,2,1,1,0,2,1,0,2,2,1,0,0,1,0,2,2,0,0,3,0,1,0,0,1,1,0,3,1,2,1,2,1,2,2,2,2,1,2
1,1,0,2,1,1,2,2,2,0,0,2,1,2,0,1,0,1,2,3,3,2,2,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,2,2,2,2,1,1,1,0,2,0,0,1,0,0,0,0,1,2,1,1,1,2,2,1,3,0,0,2,2,0,0,0,0,2,0,2,2,0,1,4,1,2,3,1,1,0,2
0,1,2,2,2,1,2,2,0,0,0,1,1,2,0,1,1,1,0,2,0,2,0,1,1,1,0,4,1,2,0,0,1,0,2,0,1,2,2,0,2,2,0,2,1,1,2,0,2,2,2,0,0,0,1,0,1,1,1,0,0,1,2,2,0,0,2,3,2,2,0,0,0,1,0,2,3,2,3,1,1,2,1,1,2,0,0
3,0,1,2,2,1,2,2,1,0,0,2,2,2,0,3,1,1,0,2,4,2,3,1,0,0,1,3,0,1,0,0,1,1,0,0,1,0,1,3,1,0,3,2,4,3,0,0,2,0,2,2,2,1,0,0,2,2,1,2,0,2,2,2,0,0,2,1,0,1,0,0,3,1,3,2,1,1,1,0,1,2,3,0,0,2,1
1,2,2,1,1,3,0,2,2,2,1,1,1,2,3,1,1,1,2,1,3,0,0,1,1,2,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1,2,2,3,0,3,3,0,0,0,1,5,2,2,1,0,1,2,1,0,1,1,0,3,0,0,2,3,0,1,0,0,2,1,3,0,2,0,2,0,1,4,0,2,1,2,1
2,2,0,3,1,2,0,2,2,0,0,1,1,2,2,0,2,1,2,3,3,2,1,2,1,0,0,5,2,2,0,2,2,1,0,0,1,1,3,0,1,2,0,1,0,3,1,2,2,0,0,3,3,2,2,0,0,2,2,2,1,2,2,2,0,0,1,3,0,4,0,0,0,1,0,0,2,2,2,2,1,2,0,0,1,2,2
0,1,0,3,2,2,0,2,1,3,1,1,1,2,3,2,1,1,1,2,0,0,1,1,3,1,0,4,0,1,0,0,0,1,3,0,1,0,2,0,1,2,2,0,4,1,1,0,2,1,2,0,1,2,1,0,0,2,1,2,0,2,2,1,1,3,1,3,2,1,0,0,1,2,0,3,3,1,2,2,1,2,0,1,1,2,0
2,2,0,2,2,1,0,0,3,3,0,2,2,2,0,1,1,2,2,3,2,1,0,1,3,1,0,4,1,1,1,0,0,1,0,0,0,2,0,0,0,2,1,2,4,0,0,0,2,2,1,2,2,0,1,0,2,2,3,1,1,2,2,3,0,0,1,0,0,1,0,0,3,1,0,2,0,2,3,2,1,2,0,0,1,2,2
0,1,0,3,3,2,2,2,3,3,1,2,0,2,0,1,1,2,2,1,2,0,2,1,1,2,0,5,0,1,0,0,0,1,2,0,1,2,3,0,0,2,1,0,4,1,1,0,3,2,1,0,3,2,1,0,0,1,1,2,0,1,2,3,0,0,2,0,1,4,0,0,3,2,0,2,0,0,2,0,1,2,1,1,1,0,0
